observed_at_utc,monitor_elapsed_seconds,phase,host_swap_in_mib_s,host_swap_out_mib_s,host_swap_used_mib,app_cpu_pct,app_ps_rss_mib,sidecar_cpu_pct,sidecar_ps_rss_mib,host_process_count
2026-09-06T02:06:38.636724+00:00,1212.430652,interaction,6.409182,0.0,23349.62,4.0,55.046875,0.3,12.609375,1008
2026-09-06T02:06:43.643582+00:00,1217.435925,interaction,5.032193,6.555586,23366.44,3.4,54.8125,0.0,12.515625,1010
2026-09-06T02:06:48.655663+00:00,1222.438223,interaction,4.81966,7.48406,23371.88,2.1,54.96875,0.0,12.5625,1009
2026-09-06T02:06:53.647062+00:00,1227.439758,interaction,4.970349,3.074056,23355.25,3.9,53.671875,0.0,12.5,1008
2026-09-06T02:06:58.668816+00:00,1232.445659,interaction,4.410419,9.326492,23361.94,3.5,53.40625,0.0,12.53125,1008
2026-09-06T02:07:03.672519+00:00,1237.450059,interaction,6.934522,14.299916,23409.5,4.2,53.21875,0.0,12.578125,1009
2026-09-06T02:07:08.663408+00:00,1242.455353,interaction,3.62741,0.0,23393.5,4.0,53.46875,0.0,12.578125,1010
2026-09-06T02:07:13.679468+00:00,1247.460432,interaction,9.665181,3.833606,23356.69,0.0,56.453125,0.0,12.4375,1009
2026-09-06T02:07:18.713386+00:00,1252.465925,interaction,8.6249,0.0,23324.69,0.0,51.84375,0.0,12.65625,1010
2026-09-06T02:07:23.690229+00:00,1257.471376,interaction,6.752014,0.0,23276.69,0.0,41.171875,0.0,12.609375,1010
2026-09-06T02:07:28.699263+00:00,1262.476079,interaction,6.462671,12.638113,23299.94,0.0,32.484375,0.0,15.0625,1010
2026-09-06T02:07:33.707459+00:00,1267.478108,interaction,4.135822,0.0,23291.94,0.0,30.828125,0.0,12.640625,1008
2026-09-06T02:07:38.703881+00:00,1272.489004,interaction,28.010834,21.640341,23248.38,0.0,29.0,0.0,12.703125,1011
2026-09-06T02:07:43.705810+00:00,1277.497703,interaction,5.871035,9.271369,23270.81,0.0,23.0,0.0,12.8125,1011
2026-09-06T02:07:48.718101+00:00,1282.502435,interaction,4.214762,6.643713,23304.06,0.0,22.84375,0.0,12.796875,1011
2026-09-06T02:07:53.727928+00:00,1287.504865,interaction,17.363437,11.556883,23257.88,0.0,22.734375,0.0,12.609375,1011
2026-09-06T02:07:58.717813+00:00,1292.507003,interaction,29.403048,20.266331,23207.25,1.1,29.40625,0.0,12.421875,1010
2026-09-06T02:08:03.739249+00:00,1297.515996,interaction,6.912568,39.329266,23404.25,1.6,59.390625,0.0,12.59375,1010
2026-09-06T02:08:08.726862+00:00,1302.51697,interaction,11.491511,32.106243,23484.81,1.6,56.15625,0.0,12.453125,1017
2026-09-06T02:08:13.743535+00:00,1307.522426,interaction,6.442969,0.0,23460.81,2.2,56.625,0.0,12.515625,1011
2026-09-06T02:08:18.737368+00:00,1312.527921,interaction,12.317714,0.0,23388.81,1.8,71.484375,0.0,12.421875,1027
2026-09-06T02:08:23.741356+00:00,1317.529168,interaction,3.008624,0.0,23380.81,1.7,70.4375,0.0,12.640625,1012
2026-09-06T02:08:28.750645+00:00,1322.53448,interaction,24.174317,0.0,23244.75,0.0,62.625,0.0,12.5,1020
2026-09-06T02:08:33.744284+00:00,1327.537027,interaction,2.923511,0.0,23236.75,0.2,47.390625,0.0,12.421875,1012
2026-09-06T02:08:38.766517+00:00,1332.54241,interaction,7.660502,1.398494,23195.75,0.0,40.03125,0.0,12.5,1010
2026-09-06T02:08:43.759410+00:00,1337.547707,interaction,2.675291,8.578413,23214.69,0.0,38.21875,0.0,12.640625,1010
2026-09-06T02:08:48.761307+00:00,1342.552988,interaction,6.240284,2.784559,23212.62,0.0,33.421875,0.0,12.625,1010
2026-09-06T02:08:53.763508+00:00,1347.554946,interaction,5.073013,8.88402,23225.06,14.0,79.84375,0.0,12.5625,1010
2026-09-06T02:08:58.779216+00:00,1352.560293,interaction,5.622113,6.96755,23243.94,0.5,72.953125,0.0,12.375,1010
2026-09-06T02:09:03.792111+00:00,1357.564226,interaction,5.964058,21.245787,23326.25,0.0,72.875,0.0,12.421875,1010
2026-09-06T02:09:08.789613+00:00,1362.569217,interaction,13.779994,4.995014,23295.25,0.5,83.984375,0.0,12.625,1011
2026-09-06T02:09:13.802795+00:00,1367.574545,interaction,5.825042,4.070662,23291.62,0.0,69.625,0.0,12.46875,1015
2026-09-06T02:09:18.802453+00:00,1372.578896,interaction,4.995653,1.261402,23257.94,0.0,30.265625,0.0,12.671875,1013
2026-09-06T02:09:23.797519+00:00,1377.580194,interaction,19.529306,38.714951,23347.56,22.2,82.953125,0.4,12.4375,1013
2026-09-06T02:09:28.806245+00:00,1382.581018,interaction,13.800849,6.061501,23305.88,0.0,74.0,0.0,12.515625,1013
2026-09-06T02:09:33.815406+00:00,1387.586468,interaction,3.090381,0.0,23281.88,0.0,34.453125,0.3,12.5,1015
2026-09-06T02:09:38.816352+00:00,1392.588619,interaction,5.38206,0.0,23249.88,10.4,68.859375,0.4,12.4375,1016
2026-09-06T02:09:43.806060+00:00,1397.591035,interaction,6.6218,1.561745,23209.69,8.4,68.0625,0.0,12.5,1019
2026-09-06T02:09:48.810799+00:00,1402.595592,interaction,3.965137,7.230911,23229.88,8.6,69.265625,0.4,12.5625,1019
2026-09-06T02:09:53.815296+00:00,1407.600993,interaction,2.509789,1.985355,23231.81,9.2,67.59375,0.4,12.578125,1021
2026-09-06T02:09:58.816643+00:00,1412.605922,interaction,3.237433,7.13047,23251.5,8.5,67.09375,0.4,12.6875,1021
2026-09-06T02:10:03.810528+00:00,1417.610872,interaction,5.263539,28.334449,23377.31,8.5,64.421875,0.0,12.546875,1023
2026-09-06T02:10:08.820521+00:00,1422.613486,interaction,3.288906,5.372191,23396.19,9.6,64.265625,0.0,12.578125,1023
2026-09-06T02:10:13.824090+00:00,1427.619583,interaction,3.389617,24.707372,23511.88,9.0,64.828125,0.0,12.5625,1021
2026-09-06T02:10:18.858077+00:00,1432.628998,interaction,150.753627,116.006557,23316.56,10.4,64.625,0.0,12.4375,1020
2026-09-06T02:10:23.833315+00:00,1437.631614,interaction,4.403946,4.747516,23324.31,8.4,64.5625,0.0,12.5625,1011
2026-09-06T02:10:28.866665+00:00,1442.636664,interaction,6.256181,0.0,23292.31,7.4,64.53125,0.0,12.53125,1016
2026-09-06T02:10:33.855468+00:00,1447.642078,interaction,3.096647,0.0,23276.31,36.0,72.515625,0.0,14.640625,1016
2026-09-06T02:10:38.854856+00:00,1452.646161,interaction,4.683675,2.49796,23256.81,5.8,70.6875,0.0,12.5625,1016
2026-09-06T02:10:43.863337+00:00,1457.648751,interaction,14.45189,24.24994,23322.12,5.6,69.140625,0.0,12.390625,1016
2026-09-06T02:10:48.858344+00:00,1462.651357,interaction,5.078604,29.684533,23454.62,5.4,60.84375,0.0,12.640625,1016
2026-09-06T02:10:53.924882+00:00,1467.656669,interaction,3.536867,4.907286,23463.19,5.6,60.171875,0.0,12.6875,1034
2026-09-06T02:10:58.887009+00:00,1472.662705,interaction,4.550756,6.267434,23462.56,6.7,59.375,0.0,12.421875,1023
2026-09-06T02:11:03.994909+00:00,1477.667663,interaction,5.756791,0.0,23430.56,5.6,59.59375,0.0,12.65625,1027
2026-09-06T02:11:08.886006+00:00,1482.673428,interaction,15.307351,0.0,23358.56,5.9,59.734375,0.0,12.578125,1026
2026-09-06T02:11:13.887810+00:00,1487.676037,interaction,5.868812,0.0,23334.56,5.1,58.4375,0.0,12.46875,1033
2026-09-06T02:11:18.886013+00:00,1492.677407,interaction,3.439683,0.0,23310.56,5.2,56.953125,0.0,12.53125,1030
2026-09-06T02:11:23.891835+00:00,1497.68279,interaction,5.940478,0.0,23270.56,6.0,56.890625,0.0,12.5,1034
2026-09-06T02:11:28.919783+00:00,1502.68538,recovery,14.836066,42.97774,23421.56,1.1,62.4375,0.0,12.515625,1033
2026-09-06T02:11:33.905649+00:00,1507.690698,recovery,3.630514,0.0,23397.56,0.0,31.984375,0.0,12.53125,1035
2026-09-06T02:11:38.906712+00:00,1512.692672,recovery,5.832072,0.0,23357.56,0.0,30.328125,0.0,10.234375,1034
2026-09-06T02:11:43.926317+00:00,1517.696925,recovery,7.428056,6.919114,23352.19,0.0,34.421875,0.0,12.453125,1032
2026-09-06T02:11:48.925305+00:00,1522.701219,recovery,5.214273,6.90657,23378.75,0.0,31.9375,0.0,12.546875,1028
2026-09-06T02:11:53.943993+00:00,1527.706837,recovery,17.911124,27.156985,23394.69,0.0,25.296875,0.0,12.515625,1034
2026-09-06T02:11:58.938163+00:00,1532.712761,recovery,38.956971,38.541838,23419.62,0.0,24.90625,0.0,12.515625,1031
2026-09-06T02:12:03.943696+00:00,1537.713398,recovery,16.929091,11.21107,23379.69,0.0,24.53125,0.0,12.296875,1031
2026-09-06T02:12:08.940686+00:00,1542.719289,recovery,4.042113,7.179042,23391.62,0.0,24.765625,0.0,12.640625,1031
2026-09-06T02:12:13.960921+00:00,1547.725038,recovery,28.657673,0.936423,23260.31,0.0,24.765625,0.0,12.296875,1032
2026-09-06T02:12:18.949507+00:00,1552.726786,recovery,12.389419,34.762848,23386.19,0.0,24.0,0.0,8.0625,1032
2026-09-06T02:12:23.939296+00:00,1557.731331,recovery,15.189319,0.0,23306.12,0.0,24.0,0.0,7.671875,1033
2026-09-06T02:12:28.958251+00:00,1562.741945,recovery,17.32884,21.753822,23327.12,0.0,24.078125,0.0,9.96875,1032
2026-09-06T02:12:33.985304+00:00,1567.758023,recovery,19.322241,24.29687,23337.0,0.0,23.671875,0.4,12.390625,1034
2026-09-06T02:12:38.995564+00:00,1572.763399,recovery,4.317233,11.587541,23371.0,0.0,23.03125,0.6,12.65625,1030
